Month,Avg. Players,Gain,% Gain,Peak Players
Last 30 Days,297.7,2.1,0.70%,728
Sep-24,295.6,28.8,10.78%,728
Aug-24,266.8,-57.9,-17.82%,531
Jul-24,324.7,65.1,25.08%,592
Jun-24,259.6,-30.6,-10.54%,557
May-24,290.2,-34.4,-10.60%,699
Apr-24,324.6,-29.7,-8.38%,862
Mar-24,354.3,-17.6,-4.74%,851
Feb-24,371.9,-29.4,-7.31%,980
Jan-24,401.2,-74.6,-15.67%,861
Dec-23,475.8,64.2,15.60%,902
Nov-23,411.6,43.1,11.71%,"1,013"
Oct-23,368.4,5.7,1.58%,"1,089"
Sep-23,362.7,21.4,6.27%,975
Aug-23,341.3,-60.6,-15.08%,748
Jul-23,401.9,111.9,38.56%,961
Jun-23,290.1,-35.7,-10.97%,635
May-23,325.8,-49.9,-13.27%,853
Apr-23,375.7,22.6,6.41%,"1,090"
Mar-23,353,-3.5,-0.98%,800
Feb-23,356.5,-67.8,-15.97%,771
Jan-23,424.3,-7.5,-1.74%,911
Dec-22,431.8,16.9,4.06%,872
Nov-22,414.9,53.8,14.90%,"1,056"
Oct-22,361.1,55.3,18.06%,904
Sep-22,305.9,3.4,1.13%,608
Aug-22,302.5,-23,-7.07%,716
Jul-22,325.5,28.2,9.50%,668
Jun-22,297.3,-56.6,-16.00%,606
May-22,353.9,-12.1,-3.31%,833
Apr-22,366,-18.4,-4.78%,798
Mar-22,384.4,-17.9,-4.46%,"1,047"
Feb-22,402.3,-109,-21.32%,870
Jan-22,511.3,134.3,35.61%,"1,084"
Dec-21,377.1,-95.5,-20.21%,802
Nov-21,472.6,142.2,43.04%,"1,139"
Oct-21,330.4,-19.2,-5.48%,840
Sep-21,349.5,82.6,30.94%,834
Aug-21,266.9,-38.6,-12.63%,502
Jul-21,305.5,-17.6,-5.45%,683
Jun-21,323.1,29.8,10.15%,750
May-21,293.4,-123.6,-29.65%,677
Apr-21,417,6.1,1.48%,"1,049"
Mar-21,410.9,-79,-16.13%,948
Feb-21,489.9,-0.1,-0.01%,"1,141"
Jan-21,490,21.5,4.60%,"1,209"
Dec-20,468.4,-34.1,-6.78%,"1,173"
Nov-20,502.5,77.9,18.36%,"1,211"
Oct-20,424.6,119.5,39.17%,"1,061"
Sep-20,305.1,-61.3,-16.73%,735
Aug-20,366.4,2.7,0.74%,859
Jul-20,363.7,3.2,0.89%,684
Jun-20,360.5,-253.2,-41.26%,700
May-20,613.7,-24.8,-3.89%,"1,469"
Apr-20,638.5,179.6,39.14%,"1,718"
Mar-20,458.9,48,11.69%,"1,260"
